clean_text,polarity,subjectivity,location
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Timberville, VA"
Just day 's Cloudbookers amp attendance would lov…,0,0,UK
Brennan Clapper one person flip regarding coup We know,0,0,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,United States
Do n't miss Oct p/8c There 'll mystery illusions humor ampm…,0,0,"North Carolina, USA"
Brennan Clapper one person flip regarding coup We know,0,0,"Taylor, Texas"
shows men seeking better Companies need focus policies retain talent.…,0.5,0.5,UK
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,Canada
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,NoneOfYourBusiness
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,"Florida, USA"
Brennan Clapper one person flip regarding coup We know,0,0,
Of course Obama Brennan ’ leftovers,0,0,
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,
yes dinner REALLY HAPPENED John Brennan Susan Rice dinner together Eric Ciaramella t…,0.2,0.2,
Brennan Clapper one person flip regarding coup We know,0,0,
COMEY MCCABE YATES BRENNAN CLAPPER PETER STRZOK LISA PAGE AND ALL THE OTHERS MUST BE INVEST…,0,0,
I 'll watch investigation real interest Brennan always believed 's untouchable Let 's see ... ...,0.2,0.3,USA
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,Iowa
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leadi…,-0.25,0.4,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,Penguins fan in Flyers country
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"California, USA"
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,United States
Sen. Graham take advice `` Lindsey focus Senate Judiciary ... hap…,0,0,
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,
Guys-This old news Who President “ Russian collusion ” started Who along Hillary lied t…,0.05,0.1,United States
Brennan Clapper one person flip regarding coup We know,0,0,United States
John Brennan Susan Rice Nancy Pelosi Joe Biden ... knew Eric Ciaramella Adam Schiff 'whistleblower ... .…,0,0,USA
Sen. Graham take word advice `` Lindsey focus Senate Judiciary ... …,0,0,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,NYC
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,Consider the vastness of space
If 's saying 's chance definite probably Therefore HE needs invest…,0,0.5,United States
Brennan would give run money..,0,0,"Colorado, USA"
The fucking best EVER MICHAEL BRENNAN CSC,1,0.3,glasgow
Brennan Clapper one person flip regarding coup We know,0,0,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Ireland, Toronto"
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,Under Your House
It 's word `` backup '' We want real thing backup real thing We want …,0.2,0.3,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Inland Valley, The Pass, S. CA"
college scandal putting rich people jail Think Why think Feds Who el…,0.1375,0.375,"Cassville, MO"
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,here&there- Always on the move
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,No Where
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,Slidell Louisiana 
Q Drops /22/2019 What happened Mueller hype What happened Mueller take POTUS threats …,0,0,"Kansas, USA"
After questioned said focus JUDICIARY What happened Brennan …,0,0,"Florida, USA"
Jordan Chuck sat Hunter Bridges Brennan Rippey Mars Hill fishing team talk recent…,0,0,AL
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,"Robinson, IL"
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,Not the USA I remember.
Cute When Obama brought justice illegal regime change war destroyed Lib…,0,0.75,
A Pointless story B Just working Quebec n't mean post picture another dark skin…,-0.2375,0.529166667,"Pittsburgh, PA"
Seventeen years ago mom lost vision woman n't know threw acid face This t…,0,0,
Brennan wants us believe CIA spy Senate ️‍️️‍️ …,0.2,0.1,North Carolina USA
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,
Why FBI amp NSA tap amp phone calls Obama ’ National Intelligence DNI Dir Clapper CIA Dir Brenna…,0,0,North Carolina USA
Brennan Clapper one person flip regarding coup We know,0,0,"Montgomery, AL"
Whistleblower Tapes Trump Wiretapped “ A Zillion Times ” By ‘ The Hammer ’ Brennan ’ Clapper ’ Secret Computer System…,-0.4,0.7,North Carolina USA
Sure Shay Brennan well 🤙,0.5,0.888888889,"Liverpool, England"
imagine dinner Washington DC Oct John Brennan Director CIA Susan Rice Obama's…,0,0,United States
Ex CIA Brennan investigated justice department,0,0,
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,USA
It 's working This exhausting Release FISA report arrest Comey Brennan 'hoax WWE,-0.225,0.25,
Who gave authority call whistleblowers lie guarantee pro…,0,0,"South Carolina, USA"
Still NOT Raided FBI Biden amp son Eric Holder Hillary Clinton Loretta Lynch John P…,0,0,"Arizona, USA"
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,United States
dear college student make grow learn keep pushing towards goals prioritize mental…,0,0,"Texas, USA"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0, Canada
This shit came office full volume,0.075,0.675,Louisiana
WHO PUSHED John Brennan CIA career THREAD Brennan started CIA Analyst promoted CIA Station Chief Saudi Ar…,0,0,
Brennan Clapper one person flip regarding coup We know,0,0,"Louisville, KY"
Never Forget Richard Sherman ’ legendary interview,1,1,"Washington, USA"
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,Colorado
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,"Arco, TN"
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,"Nebraska, USA"
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,"Mississippi, USA"
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,"Louisiana, USA"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,Red in a blue state
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,United States
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,USA
John Brennan ‘ There Is Question About Stability ’ U.S Under Trump biased leftist media amp deep…,-0.05,0.6,"California, USA"
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa wha…,0,0,
Wishing cuz successful recovery surgery today Can ’ wait see CF swin…,0.75,0.95,"Pennsville, NJ"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,"Highlands, TX"
Q Drops /22/2019 What happened Mueller hype What happened Mueller take POTUS threats …,0,0,"Virginia, USA"
RT :30 Main Room The Best The Store …,0.583333333,0.316666667,"Warsaw, Poland"
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,"Nebraska, USA"
Listen President Trump say corruption Obama administration goes way top.️ By…,0,0,USA
college scandal putting rich people jail Think Why think Feds Who el…,0.1375,0.375,
Had whole damn football team squad,0.2,0.4,
Ex CIA Brennan investigated justice department,0,0,"Huntington, NY Long Beach NY"
Ben 's kid novelist Jihadi John Brennan whispering BHO 's ear As…,0,0,
Wishing cuz successful recovery surgery today Can ’ wait see CF an…,0.75,0.95,
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,"Palm Beach, FL"
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,
Nobody would trust Brennan 's CIA ... What think happened t…,0,0,"ON, Canada - ""FU Greta!""  🥳  "
President Trump Lindsey Graham would like stay Middle East next thousand years thousands soldiers an…,0,0,NoVa/DC Area
college scandal putting rich people jail Think Why think Feds …,0.1375,0.375,"Chicago, IL"
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,"St Louis, MO"
Jake Brennan talks new spin-offs coming,0.136363636,0.454545455,Kansas City
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,Colorado
Still NOT Raided FBI Biden amp son Eric Holder Hillary Clinton Loretta Lynch Joh…,0,0,United States
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,
Just Justice Roberts going 'd eect conservative warrior vote unconstit…,0,0,"Texas, USA"
