clean_text,polarity,subjectivity,location
This first cold amp flu season I 'm taking x standard dose Cimzia immunosuppressing biologic amp a…,-0.11666666666666665,0.4444444444444444,"Washington, D.C "
Unfortunately I 'm one ca n't take gives flu eventually pneu…,-0.5,1.0,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Please get flu shot Your city might something like,0.0,0.0,"Somerville, MA"
Thanks We got flu shots last month,0.1,0.13333333333333333,"Elgin, IL"
Just got flu shot I 'm feeling --,0.0,0.0,"New York, NY"
Pretty sure I ’ worst reaction flu shot I got yesterday 🥴,-0.08333333333333333,0.9629629629629629,"Phoenix, AZ"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
wo n't even work China Xi 's taking back control private firms Alibaba reverting China a…,0.0,0.1875,"Salem, Oregon, USA"
life threatening life long condition one conditions free presc…,0.17500000000000002,0.6000000000000001,"East Grinstead, UK"
How flu actually kill people The short morbid answer cases body kills trying heal…,0.0,0.2,Polo Grounds
The days getting colder A reminder get vaccine- including pregnant women frontline hea…,0.3333333333333333,0.5,"London, England"
Lol ok yeah I know But week almost taking cold/flu tablets seems getting worse…,0.65,0.6,Glasgow
In need cold flu symptom relief Click free Theraflu Sick Ki…,-0.30476190476190473,0.8857142857142857,
Every president since Jimmy Carter address infectious outbreaks pandemic http…,0.0,0.0,"Washington, D.C."
For I think toilet one time I stomach flu,-0.03333333333333333,0.0,"Ohio, USA"
Gave flu vaccs today got mine ... .no pain gain,0.0,0.0,Kent
There already several flu-related deaths California doctors urging Americans get flu sh…,0.0,0.0,"Stony Brook, NY"
Did cold flu season get best Click link receive free…,0.2,0.65,
I read subbed due flu like symptoms I hoping teammates come do…,-0.125,0.375,
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
I ’ gotten yet I ’ tryna see ’ point I ’ never gotten flu baby p…,0.0,0.0,"New Orleans, LA"
I got one years ago bedridden flu week Never Take thera flu sweat,0.0,0.0,"Broooooooooooooklyn, NYC"
Did cold flu season get best Click link receive free Theraf…,0.26666666666666666,0.7000000000000001,
Same except I keep putting flu shot gt //// lt I really go get,0.1,0.1625,
These steps help keep flu contained even 's entered home,0.0,0.0,
Are believer flu shot I I ’ one every year years I ’ flu life C…,0.0,0.0,"Tucson, AZ"
Our whole house woke flu morning ... I think next day two going ruff ... 🤢,0.1,0.2,"North Dakota,United States "
And yet I get flu shot every year 🧐,0.0,0.0,"Nashville, TN"
Not sure 's cold flu shows tell difference htt…,-0.425,0.9444444444444444,"Muscat, Oman"
Flu shot amp inlets sound Heading home adult things,0.25,0.35,in my mind 
I ’ treating employer-provided flu shot I ’ awesome boss,1.0,1.0,"Texas, USA"
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
I feel like I missed something really big I recovering flu ...,0.0,0.1,
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
